"Name","Curriculum","FS1","KG1/FS2","KG2/Y1","G1/Y2","G2/Y3","G3/Y4","G4/Y5","G5/Y6","G6/Y7","G7/Y8","G8/Y9","G9/Y10","G10/Y11","G11/Y12","G12/Y13"
"Adab Iranian Private School","Iranian","","8778","8778","11284","11284","11284","11284","11284","13792","13792","13792","16300","16300","18808","18808"
"Al Arqam Private School","MOE","","7791","8196","9095","9095","9095","9916","9916","9916","11597","11597","11597","14961","15788","16618"
"Al Diyafah High School","British","","10701","11304","11304","11304","11634","11634","11634","11887","13523","14927","18922","18922","19232","22725"
"Al Eman School Dubai MOE","","5707","5707","5881","5881","5881","6918","6918","6918","8503","8503","8503","","",""
"Al Ittihad Private School Al Mamzar","American","18180","17495","17495","20290","20290","20290","22115","22115","22115","28275","28275","28275","35675","35675","40865"
"Al Ittihad Private School Jumeirah","American","","21145","21145","28195","28195","28195","33060","33060","33060","35005","35005","35005","43145","43145","43145"
"Al Maaref Private School","American","","9904","9904","11319","11319","11319","13295","13295","13295","14148","15563","16979","19807","23163","28479"
"Al Ameen Private School","British,IGCSE","9411","9411","10037","10037","10037","10037","10037","10037","10667","10667","10667","10667","10667","",""
"Al Mawakeb Al Khawaneej","American","33450","34750","36250","39050","40050","42550","44550","47550","51550","52550","54050","58350","61050","",""
"Al Mawakeb School Al Barsha","American","","14245","14245","14476","14534","14906","15222","15683","15854","17577","17692","19244","19415","21713","23092"
"Al Mawakeb School Al Garhoud","American","","14245","14245","14476","14534","14906","15222","15683","15854","17577","17692","19244","19415","21713","23092"
"Al Rashid Al Saleh School","MOE","","8354","8354","8529","8529","8529","8704","8704","8704","13750","14795","15839","17927","17927","17927"
"Al Sadiq Islamic English School","British,IGCSE","","4245","4245","4750","4750","4750","4750","4877","4877","6127","6127","6127","7184","8605",""
"Al Salam Community School","NCfE","22000","22000","25000","25000","27000","27000","29000","29000","32500","32500","34000","36000","36000","38000","38000"
"Al Salam Private School","British,IGCSE","16580","17020","17525","17930","18135","18785","19045","19690","22175","22990","24485","25510","29130","30690","33400"
"Al Shorouq Private School","MOE","","6889","6889","7378","7379","7379","7978","7978","7978","8965","8965","8965","11457","11457","11457"
"Al Thuraya School","","","6625","6625","7419","7419","7419","8216","8216","8216","10189","10189","10189","11129","13250","12801"
"Ambassador Kindergarten Dubai","CISCE","18715","18910","20749","","","","","","","","","","","",""
"Ambassador School","CISCE","","","","20695","21831","22967","22967","24106","24106","28654","32065","34680","36244","38685","38954"
"American International School Dubai","American","","11842","11842","12645","12645","12645","13624","13624","13624","15830","15830","15830","17244","18245","19198"
"American School of Creative Science - Al Barsha","American","","26250","26250","31125","31125","31125","36375","36375","43875","43875","43875","","","",""
"American School of Dubai","American","","59255","63727","81360","81360","81360","81360","81360","81360","81360","81360","81360","81360","81360","81360"
"Amity School Dubai","CBSE","15000","13500","14400","16200","18000","20700","20700","23400","23400","25200","","","","",""
"Amled School","CBSE","","11500","11500","13000","13000","14000","14000","16000","16000","16000","","","","",""
"Apple International School","British","6334","6562","7426","7426","7426","7426","8522","9428","10183","12052","13350","","","",""
"Arab Unity School","British,IGCSE","","7705","8090","8180","8180","8430","8430","8180","9015","8765","9600","9060","9560","10730","10740"
"Bilva Indian School","CBSE","10200","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","18700","","",""
"Bright Riders School","CBSE,UK EYFS","","19000","19000","21000","21000","24000","24000","24000","26500","","","","","",""
"Brighton College Dubai","British","64000","80000","86000","86000","86000","86000","91000","91000","91000","91000","102000","107000","107000","107000","107000"
"Buds Public School","CBSE","","7747","7747","9407","9407","9407","11620","11620","11620","12727","12727","12727","13832","13832","13832"
